Муниципалитет,Этап олимпиады,Год проведения,Количество участников,Количество призёров,Процент призёров,Средний балл по этапу
Бугульма,Региональный,2023,140,28,20.0,82.15
Бавлы,Региональный,2017,,0,,72.56
Буинск,Муниципальный,2024,166,57,ошибка,91.31
Казань,Региональный,2016,184,31,16.85,63.53
Арск,Муниципальный,2019,101,24,23.76,
Мамадыш,Муниципальный,2024,142,27,19.01,62.23
Бугульма,Школьный,2015,97,7,7.22,66.67
Кукмор,Школьный,2021,133,51,38.35,52.05
Набережные Челны,Муниципальный,2020,108,40,ошибка,86.44
Зеленодольск,Школьный,2019,194,85,ошибка,45.34
Кукмор,Школьный,2016,197,70,35.53,58.96
Балтаси,Заключительный,2018,174,69,ошибка,43.98
Елабуга,Школьный,2017,ошибка,0,,78.12
Балтаси,Региональный,2024,96,0,,47.51
Бугульма,Школьный,2016,,0,,73.81
Азнакаево,Заключительный,2019,141,34,24.11,68.19
Бавлы,Заключительный,2019,55,,,79.1
Агрыз,Региональный,2020,57,4,7.02,42.39
Тетюши,Заключительный,2021,49,7,14.29,69.55
Тетюши,Региональный,2020,181,67,37.02,46.09
Лениногорск,Школьный,2015,184,11,5.98,85.36
Альметьевск,Муниципальный,2020,64,4,6.25,86.41
Арск,Региональный,2016,138,3,ошибка,55.59
Казань,Муниципальный,2022,73,3,4.11,70.08
Арск,Школьный,2016,176,32,18.18,68.83
Заинск,Муниципальный,2017,124,26,20.97,43.21
Альметьевск,Муниципальный,2021,,,ошибка,-1
Зеленодольск,Муниципальный,2024,86,40,46.51,46.94
Балтаси,Региональный,2020,49,13,26.53,47.83
Кукмор,Заключительный,2018,198,3,1.52,-1
Менделеевск,Заключительный,2016,94,3,3.19,ошибка
Азнакаево,Муниципальный,2017,141,4,2.84,47.89
Заинск,Школьный,2019,90,0,,47.19
Набережные Челны,Муниципальный,2017,82,14,17.07,58.76
Арск,Региональный,2023,130,8,6.15,86.89
Азнакаево,Муниципальный,2017,13,3,23.08,87.96
Кукмор,Региональный,2015,193,29,15.03,ошибка
Зеленодольск,Заключительный,2016,92,23,25.0,
Бавлы,Муниципальный,2016,99,19,19.19,89.65
Апастово,Школьный,2022,,,,77.45
Заинск,Муниципальный,2020,81,29,35.8,70.0
Арск,Муниципальный,2020,,0,,59.65
Буинск,Заключительный,2022,122,32,26.23,66.24
Альметьевск,Региональный,2018,29,6,20.69,77.62
Апастово,Заключительный,2022,23,8,34.78,54.67
Лениногорск,Региональный,2024,118,50,42.37,88.52
Балтаси,Муниципальный,2017,56,24,42.86,45.83
Кукмор,Школьный,2015,173,ошибка,ошибка,56.82
Лениногорск,Региональный,2022,82,29,35.37,78.99
Менделеевск,Региональный,2017,147,63,42.86,60.04
Мамадыш,Муниципальный,2019,98,37,37.76,70.27
Зеленодольск,Заключительный,2021,153,ошибка,,-1
Альметьевск,Муниципальный,2016,,,,87.98
Мамадыш,Школьный,2018,ошибка,0,,85.45
Бугульма,Школьный,2018,10,3,ошибка,45.08
Арск,Школьный,2020,168,58,ошибка,75.02
Альметьевск,Муниципальный,2022,13,1,ошибка,75.26
Зеленодольск,Региональный,2024,,0,,96.57
Апастово,Региональный,2023,33,11,33.33,62.43
Заинск,Заключительный,2018,121,39,32.23,53.17
Арск,Муниципальный,2021,178,14,7.87,97.51
Бавлы,Заключительный,2019,18,,,90.08
Бугульма,Заключительный,2016,164,7,4.27,65.65
Набережные Челны,Школьный,2021,178,,,89.35
Кукмор,Заключительный,2022,178,41,23.03,66.02
Тетюши,Школьный,2015.0,187,77,41.18,ошибка
Чистополь,Заключительный,2017,22,6,ошибка,40.98
Балтаси,Заключительный,2017,189,30,ошибка,78.18
Чистополь,Муниципальный,2016,54,9,16.67,56.64
Азнакаево,Региональный,2024,175,49,28.0,71.07
Елабуга,Муниципальный,2019,90,18,20.0,55.43
Кукмор,Школьный,2023,110,37,33.64,59.4
Зеленодольск,Заключительный,2021.0,96,,,40.37
Тетюши,Школьный,2015.0,120,,,84.66
Бавлы,Региональный,2022,54,14,25.93,60.58
Буинск,Региональный,2016,90,30,ошибка,43.68
Елабуга,Муниципальный,2018,,0,,68.34
Набережные Челны,Региональный,2020,196,,ошибка,
Альметьевск,Региональный,2022,36,18,50.0,
Арск,Школьный,2023,17,ошибка,,80.85
Заинск,Заключительный,2019,192,38,ошибка,44.38
Кукмор,Школьный,2018,,0,,96.1
Елабуга,Муниципальный,2015,67,10,14.93,50.22
Альметьевск,Школьный,2024.0,113,36,31.86,76.14
Агрыз,Муниципальный,2017,63,,,50.83
Альметьевск,Школьный,2016,175,70,40.0,49.39
Бавлы,Школьный,2021,172,11,6.4,71.06
Набережные Челны,Региональный,2015,,0,,-1
Елабуга,Муниципальный,2022,40,14,35.0,86.48
Балтаси,Школьный,2020,91,16,17.58,81.92
Бугульма,Школьный,2024,10,3,30.0,95.88
Альметьевск,Региональный,2024,30,12,ошибка,94.39
Бавлы,Муниципальный,2018.0,,0,ошибка,63.57
Кукмор,Заключительный,2017.0,34,11,32.35,46.47
Буинск,Региональный,2016,185,79,42.7,92.41
Заинск,Заключительный,2016,179,31,ошибка,46.46
Чистополь,Муниципальный,2020,155,,,62.11
Кукмор,Заключительный,2015,31,1,3.23,43.98
Зеленодольск,Заключительный,2020,86,,,62.6
Елабуга,Школьный,2020,139,61,43.88,55.33
Менделеевск,Школьный,2023,,0,ошибка,58.19
Буинск,Школьный,2017,44,8,18.18,41.51
Бавлы,Региональный,2017,111,52,46.85,65.32
Елабуга,Региональный,2023,156,39,25.0,85.56
Балтаси,Заключительный,2022.0,24,3,12.5,82.6
Апастово,Школьный,2019.0,199,,,71.42
Азнакаево,Заключительный,2024,108,19,17.59,95.79
Казань,Региональный,2019,127,52,40.94,57.48
Балтаси,Заключительный,2024,170,19,ошибка,
Кукмор,Школьный,2020,24,5,20.83,95.51
Тетюши,Региональный,2020,30,9,30.0,46.76
Агрыз,Муниципальный,2020,64,2,3.12,72.26
Лениногорск,Региональный,2024,10,2,20.0,50.59
Тетюши,Школьный,2017,40,1,2.5,61.86
Бугульма,Муниципальный,2022,102,1,0.98,ошибка
Кукмор,Заключительный,2020,,0,,87.14
Лениногорск,Школьный,2023,183,54,29.51,-1
Арск,Заключительный,2015,93,11,11.83,
Лениногорск,Школьный,2017,43,18,41.86,96.55
Балтаси,Региональный,2024,,0,ошибка,59.34
Азнакаево,Школьный,2021,109,,ошибка,67.93
Агрыз,Заключительный,2015,39,9,ошибка,86.55
Апастово,Заключительный,2023,39,12,30.77,
Менделеевск,Муниципальный,2016,14,6,42.86,88.37
Чистополь,Муниципальный,2015,15,4,26.67,67.77
Мамадыш,Заключительный,2018,186,9,4.84,94.27
Бугульма,Школьный,2021,,0,,
Азнакаево,Школьный,2021,105,32,30.48,87.39
Мамадыш,Заключительный,2024,173,22,12.72,59.24
Казань,Региональный,2020,172,51,ошибка,64.33
Кукмор,Муниципальный,2022,197,23,11.68,80.16
Балтаси,Школьный,2016,108,24,ошибка,58.98
Набережные Челны,Муниципальный,2023,12,4,33.33,91.95
Елабуга,Муниципальный,2021,179,8,4.47,78.86
Арск,Заключительный,2016,28,8,28.57,97.85
Менделеевск,Региональный,2023,118,1,0.85,71.81
Азнакаево,Заключительный,2018,134,8,5.97,85.44
Агрыз,Заключительный,2024,164,18,10.98,67.74
Лениногорск,Муниципальный,2024,62,ошибка,,-1
Кукмор,Заключительный,2015,86,40,46.51,82.24
Бугульма,Муниципальный,2017,51,11,21.57,50.53
Заинск,Муниципальный,2024,154,6,3.9,44.05
Чистополь,Муниципальный,2017,ошибка,0,ошибка,60.19
Бавлы,Заключительный,2020,192,82,42.71,96.51
Чистополь,Региональный,2019,62,6,9.68,72.32
Альметьевск,Региональный,2022,28,6,21.43,72.36
Балтаси,Региональный,2022,,0,,76.38
Агрыз,Региональный,2017,185,30,16.22,72.94
Казань,Региональный,2017,83,4,4.82,78.68
Мамадыш,Заключительный,2020,137,28,ошибка,
Балтаси,Региональный,2022,,0,ошибка,
Азнакаево,Муниципальный,2017,78,36,46.15,54.66
Агрыз,Региональный,2023,,0,,97.12
Буинск,Школьный,2020,86,19,22.09,49.12
Зеленодольск,Региональный,2024,151,42,27.81,70.05
Апастово,Муниципальный,2024,25,11,44.0,ошибка
Мамадыш,Школьный,2024,138,49,35.51,81.95
Чистополь,Муниципальный,2024,54,23,42.59,84.16
Лениногорск,Региональный,2016,189,24,12.7,57.47
Чистополь,Заключительный,2021,68,7,10.29,41.9
Заинск,Школьный,2019,24,12,50.0,69.15
Лениногорск,Заключительный,2022,25,7,28.0,85.83
Альметьевск,Заключительный,2016,60,11,18.33,43.82
Тетюши,Школьный,2020,170,76,44.71,78.6
Заинск,Заключительный,2019,180,77,42.78,-1
Чистополь,Муниципальный,2018,30,9,ошибка,60.99
Лениногорск,Заключительный,2015,12,ошибка,,89.29
Апастово,Региональный,2024,60,20,33.33,
Казань,Региональный,2023,189,4,2.12,93.82
Набережные Челны,Муниципальный,2017,93,17,18.28,47.29
Балтаси,Муниципальный,2017,38,10,26.32,93.35
Лениногорск,Муниципальный,2024,150,60,40.0,83.53
Заинск,Школьный,2019,90,11,12.22,63.31
Буинск,Муниципальный,2019.0,69,9,13.04,60.67
Заинск,Региональный,2019,76,16,ошибка,93.58
Мамадыш,Региональный,2017,30,ошибка,ошибка,62.27
Кукмор,Школьный,2023,55,0,ошибка,46.37
Набережные Челны,Региональный,2020.0,27,6,ошибка,60.16
Балтаси,Муниципальный,2021,,0,,87.5
Елабуга,Муниципальный,2016,178,4,2.25,53.75
Заинск,Региональный,2018,114,25,21.93,55.7
Кукмор,Школьный,2018,189,20,10.58,88.22
Чистополь,Муниципальный,2017,15,,ошибка,81.46
Тетюши,Региональный,2017,85,36,42.35,98.93
Чистополь,Муниципальный,2015,153,31,ошибка,53.85
Бавлы,Региональный,2017,133,19,14.29,98.01
Зеленодольск,Региональный,2020,192,60,31.25,75.45
Лениногорск,Региональный,2017,15,6,40.0,95.59
Зеленодольск,Школьный,2023,,0,,70.51
Агрыз,Региональный,2017,36,8,22.22,84.77
Агрыз,Региональный,2016,127,28,22.05,-1
Азнакаево,Заключительный,2021,,,,47.4
Лениногорск,Заключительный,2021,45,12,26.67,41.11
Чистополь,Заключительный,2022,153,55,35.95,70.04
Балтаси,Региональный,2019,165,66,ошибка,98.31
Казань,Региональный,2023,141,50,35.46,71.75
Апастово,Заключительный,2021,59,8,13.56,48.78
Агрыз,Региональный,2024,154,44,28.57,97.74
Набережные Челны,Школьный,2020,150,70,46.67,77.33
Мамадыш,Заключительный,2021,84,28,33.33,
Арск,Региональный,2015,10,5,50.0,57.69
Арск,Региональный,2021,40,4,10.0,57.33
Мамадыш,Региональный,2024,130,,,-1
Бугульма,Муниципальный,2019.0,59,,,93.86
Бавлы,Муниципальный,2020,123,41,33.33,44.0
Мамадыш,Школьный,2023,182,ошибка,,90.77
Заинск,Школьный,2018,129,,ошибка,52.93
Набережные Челны,Региональный,2021,45,12,26.67,68.58
Набережные Челны,Заключительный,2015,40,14,ошибка,95.65
Заинск,Региональный,2017,192,8,4.17,54.75
Кукмор,Школьный,2016,109,,,ошибка
Азнакаево,Региональный,2022,171,83,ошибка,56.61
Лениногорск,Муниципальный,2017.0,10,4,ошибка,52.64
Буинск,Заключительный,2022,63,6,9.52,83.21
Кукмор,Муниципальный,2019,ошибка,0,,51.6
Заинск,Школьный,2018,ошибка,0,ошибка,63.04
Лениногорск,Региональный,2023,168,,,70.8
Арск,Заключительный,2020,176,80,ошибка,90.94
Балтаси,Заключительный,2020,129,32,ошибка,48.61
Бугульма,Муниципальный,2024,52,0,ошибка,74.05
Азнакаево,Региональный,2022,22,11,50.0,70.41
Казань,Школьный,2016,92,23,ошибка,59.52
Альметьевск,Школьный,2018,74,20,27.03,75.16
Арск,Школьный,2022.0,200,86,43.0,44.55
Мамадыш,Заключительный,2016,,0,,93.37
Чистополь,Региональный,2017,110,29,26.36,45.56
Лениногорск,Муниципальный,2017,10,,,89.71
Тетюши,Региональный,2024,98,6,6.12,74.79
Заинск,Региональный,2015,91,ошибка,ошибка,42.32
Тетюши,Школьный,2023,160,5,3.12,95.19
Тетюши,Региональный,2016,,0,,92.25
Казань,Муниципальный,2020,34,8,23.53,88.37
Арск,Региональный,2017,138,50,36.23,52.89
Зеленодольск,Региональный,2023,193,66,34.2,44.19
Мамадыш,Региональный,2022,46,11,23.91,58.19
Зеленодольск,Региональный,2018.0,,0,ошибка,84.58
Мамадыш,Заключительный,2021,117,9,7.69,99.75
Елабуга,Региональный,2018,12,5,41.67,-1
Азнакаево,Региональный,2015,149,26,17.45,69.81
Казань,Школьный,2020,192,57,ошибка,61.19
Лениногорск,Муниципальный,2017.0,197,51,25.89,63.98
Менделеевск,Региональный,2021,10,5,50.0,49.58
Елабуга,Муниципальный,2020,107,6,5.61,99.36
Агрыз,Региональный,2019,11,2,18.18,99.39
Балтаси,Школьный,2016,ошибка,0,,42.72
Агрыз,Муниципальный,2017,164,6,3.66,52.01
Бугульма,Заключительный,2018,113,4,3.54,59.69
Заинск,Муниципальный,2021,94,15,15.96,
Менделеевск,Школьный,2020.0,120,45,37.5,98.95
Тетюши,Школьный,2023,24,6,ошибка,68.55
Тетюши,Муниципальный,2020,67,19,28.36,75.75
Кукмор,Заключительный,2023,15,0,,79.34
Бугульма,Муниципальный,2017,36,13,36.11,62.4
Азнакаево,Региональный,2015.0,93,30,32.26,62.81
Зеленодольск,Муниципальный,2024,97,32,ошибка,56.85
Арск,Муниципальный,2020,159,41,25.79,
Альметьевск,Заключительный,2022,185,,ошибка,63.71
Арск,Муниципальный,2017,147,42,28.57,92.28
Лениногорск,Региональный,2022,,0,,
Зеленодольск,Школьный,2016,98,22,22.45,63.3
Мамадыш,Заключительный,2021,ошибка,0,ошибка,55.09
Лениногорск,Заключительный,2017.0,25,3,12.0,62.63
Азнакаево,Заключительный,2022.0,31,ошибка,ошибка,73.29
Лениногорск,Заключительный,2022,94,46,48.94,73.69
Буинск,Региональный,2018,175,46,26.29,90.73
Заинск,Региональный,2016,64,22,34.38,93.94
Арск,Школьный,2023,131,6,4.58,84.68
Заинск,Муниципальный,2015,138,39,28.26,60.77
Альметьевск,Муниципальный,2015,120,32,ошибка,57.39
Кукмор,Муниципальный,2016,181,68,ошибка,
Казань,Школьный,2023,188,83,44.15,99.32
Бугульма,Заключительный,2016,29,9,31.03,53.8
Азнакаево,Школьный,2017,175,67,38.29,77.07
Заинск,Школьный,2019,187,63,33.69,46.54
Зеленодольск,Региональный,2016,14,6,42.86,
Балтаси,Муниципальный,2023,17,1,5.88,61.82
Набережные Челны,Заключительный,2019,,0,,69.92
Азнакаево,Муниципальный,2020,162,59,36.42,50.49
Казань,Региональный,2024,101,,,67.58
Балтаси,Заключительный,2019,167,41,24.55,94.77
Зеленодольск,Региональный,2017,100,48,48.0,83.93
Буинск,Региональный,2017,46,,,57.26
Лениногорск,Школьный,2017,79,28,35.44,-1
Зеленодольск,Муниципальный,2022,93,11,11.83,86.32
Кукмор,Региональный,2021,41,8,19.51,54.6
Бугульма,Заключительный,2023,108,0,ошибка,83.2
Тетюши,Заключительный,2022,44,0,,44.2
Кукмор,Муниципальный,2015,64,23,ошибка,41.14
Буинск,Школьный,2015,141,3,2.13,66.28
Лениногорск,Заключительный,2021,180,85,47.22,49.9
Апастово,Заключительный,2024,196,47,ошибка,99.2
Кукмор,Заключительный,2017,89,41,ошибка,57.4
Зеленодольск,Региональный,2024,51,3,5.88,62.87
Агрыз,Школьный,2022,52,ошибка,ошибка,94.64
Лениногорск,Школьный,2020,10,0,,97.44
Казань,Школьный,2018,196,61,31.12,72.28
Азнакаево,Региональный,2016,154,45,29.22,95.83
Арск,Муниципальный,2017,26,4,15.38,69.4
Апастово,Муниципальный,2020,29,10,34.48,77.78
Кукмор,Муниципальный,2019.0,111,21,18.92,69.66
Арск,Школьный,2023,116,41,35.34,44.68
Агрыз,Муниципальный,2022.0,107,49,45.79,75.58
Бавлы,Муниципальный,2019,43,,,96.19
Казань,Школьный,2019,183,86,46.99,64.62
Зеленодольск,Муниципальный,2020,21,10,47.62,52.11
Апастово,Региональный,2023,27,0,,68.96
Альметьевск,Муниципальный,2022,68,12,17.65,96.39
Менделеевск,Региональный,2023,51,19,37.25,46.52
Лениногорск,Региональный,2020,87,,ошибка,95.33
Буинск,Региональный,2018,15,7,46.67,93.01
Кукмор,Школьный,2016,,0,,81.25
Мамадыш,Школьный,2022,70,33,47.14,92.14
Арск,Муниципальный,2015,129,27,20.93,46.06
Кукмор,Школьный,2018,ошибка,0,,
Заинск,Региональный,2021,,0,,95.38
Кукмор,Региональный,2021,,0,,68.49
Альметьевск,Региональный,2017,54,9,16.67,45.67
Чистополь,Региональный,2021,112,40,35.71,95.24
Менделеевск,Школьный,2022,,0,,52.92
Бавлы,Региональный,2022,73,ошибка,,89.9
Апастово,Муниципальный,2016,183,61,33.33,85.99
Набережные Челны,Муниципальный,2019.0,160,,,46.2
Лениногорск,Муниципальный,2020,58,26,44.83,72.75
Кукмор,Школьный,2023,17,6,35.29,49.89
Менделеевск,Муниципальный,2019,172,4,2.33,89.28
Елабуга,Региональный,2021.0,147,2,1.36,53.95
Елабуга,Заключительный,2023,52,13,25.0,49.57
Тетюши,Заключительный,2023,51,11,21.57,80.47
Набережные Челны,Муниципальный,2019,91,,,48.36
Бавлы,Региональный,2021,29,11,ошибка,
Агрыз,Региональный,2017,,0,ошибка,76.3
Зеленодольск,Муниципальный,2017,138,2,1.45,57.49
Арск,Муниципальный,2023.0,71,25,35.21,98.73
Азнакаево,Заключительный,2015,,0,,45.09
Набережные Челны,Заключительный,2016,83,,,90.09
Буинск,Школьный,2024,118,45,38.14,68.28
Апастово,Муниципальный,2017,49,,ошибка,
Балтаси,Региональный,2016,,0,,45.3
Кукмор,Заключительный,2021,79,,,62.5
Зеленодольск,Муниципальный,2021,151,14,9.27,ошибка
Альметьевск,Школьный,2023,41,12,ошибка,79.11
Заинск,Региональный,2015,116,44,ошибка,68.58
Мамадыш,Муниципальный,2019,50,9,18.0,59.12
Зеленодольск,Заключительный,2024,62,15,24.19,63.86
Зеленодольск,Региональный,2021,107,28,26.17,95.79
Арск,Школьный,2024,30,8,26.67,48.11
Лениногорск,Муниципальный,2017.0,148,2,ошибка,68.69
Елабуга,Школьный,2019,137,24,17.52,43.4
Альметьевск,Школьный,2016,42,16,ошибка,54.84
Лениногорск,Заключительный,2022,155,14,ошибка,84.7
Елабуга,Муниципальный,2019,71,3,4.23,50.44
Арск,Заключительный,2018,58,22,37.93,-1
Арск,Региональный,2022,195,48,24.62,-1
Казань,Муниципальный,2021,121,,ошибка,60.73
Лениногорск,Школьный,2023,80,18,22.5,99.65
Азнакаево,Муниципальный,2018,ошибка,0,,93.14
Балтаси,Школьный,2016,,0,,43.24
Зеленодольск,Муниципальный,2020,ошибка,0,,66.58
Альметьевск,Заключительный,2016,82,17,20.73,
Чистополь,Заключительный,2023,45,4,8.89,81.46
Кукмор,Школьный,2023,115,19,ошибка,82.88
Набережные Челны,Школьный,2015,10,2,20.0,50.94
Бавлы,Заключительный,2018,142,10,ошибка,93.37
Балтаси,Заключительный,2020,180,46,25.56,68.91
Елабуга,Муниципальный,2024,15,5,33.33,95.9
Чистополь,Школьный,2016,129,18,13.95,
Заинск,Заключительный,2020,124,37,29.84,80.6
Апастово,Региональный,2022,40,,ошибка,58.07
Менделеевск,Заключительный,2024,111,32,28.83,84.31
Чистополь,Муниципальный,2016,83,41,ошибка,67.8
Агрыз,Школьный,2023,107,ошибка,,77.92
Апастово,Региональный,2023,68,12,17.65,
Арск,Заключительный,2017,107,22,20.56,87.31
Набережные Челны,Региональный,2015,72,17,23.61,47.41
Бугульма,Школьный,2015,,0,,47.75
Апастово,Региональный,2024,171,17,ошибка,69.45
Набережные Челны,Региональный,2018,139,31,22.3,
Мамадыш,Муниципальный,2018,142,21,14.79,81.85
Кукмор,Заключительный,2018,87,11,12.64,70.34
Мамадыш,Школьный,2020,56,28,50.0,-1
Набережные Челны,Школьный,2023,151,18,ошибка,41.06
Менделеевск,Региональный,2023,129,44,34.11,55.46
Елабуга,Школьный,2022,,0,,78.36
Бавлы,Заключительный,2022,86,40,46.51,63.98
Буинск,Заключительный,2021.0,36,10,27.78,48.39
Чистополь,Школьный,2019,132,,,64.24
Азнакаево,Школьный,2019,95,7,7.37,
Набережные Челны,Школьный,2022,83,15,18.07,45.78
Агрыз,Заключительный,2023,151,52,34.44,62.65
Кукмор,Региональный,2019,15,0,ошибка,91.31
Бавлы,Региональный,2016,25,0,,54.62
Мамадыш,Муниципальный,2019,,0,ошибка,54.45
Кукмор,Заключительный,2015,,0,,82.62
Агрыз,Муниципальный,2016,88,,,92.69
Азнакаево,Школьный,2019,130,12,9.23,ошибка
Набережные Челны,Заключительный,2015,82,31,ошибка,74.16
Зеленодольск,Региональный,2015,146,6,ошибка,71.36
Набережные Челны,Муниципальный,2017,164,45,27.44,58.89
Альметьевск,Региональный,2023.0,33,ошибка,ошибка,67.1
Альметьевск,Региональный,2022,191,56,ошибка,-1
Тетюши,Муниципальный,2023,110,7,6.36,45.24
Зеленодольск,Заключительный,2024.0,,0,,ошибка
Зеленодольск,Заключительный,2015,16,,,51.78
Лениногорск,Муниципальный,2024,65,16,24.62,40.21
Буинск,Школьный,2020,48,19,39.58,44.01
Бугульма,Школьный,2015,163,,,50.79
Заинск,Школьный,2016,,0,,64.18
Буинск,Школьный,2019,139,22,15.83,54.8
Балтаси,Заключительный,2021,21,2,9.52,54.57
Набережные Челны,Школьный,2020,134,,,87.11
Арск,Заключительный,2021,189,24,12.7,61.01
Альметьевск,Заключительный,2015,128,3,2.34,87.49
Елабуга,Муниципальный,2019,112,31,27.68,79.99
Елабуга,Заключительный,2022,166,53,31.93,66.8
Заинск,Заключительный,2017,89,0,,65.87
Казань,Муниципальный,2018,22,11,50.0,65.02
Апастово,Региональный,2023,,0,,61.46
Казань,Муниципальный,2015,37,,,69.14
Бавлы,Муниципальный,2022.0,106,14,ошибка,85.2
Азнакаево,Региональный,2022,146,70,47.95,ошибка
Елабуга,Школьный,2015,198,94,47.47,72.11
Бавлы,Школьный,2017,123,37,ошибка,85.48
Азнакаево,Школьный,2022,147,,,43.76
Набережные Челны,Региональный,2024,,0,,65.36
Заинск,Заключительный,2020,120,3,2.5,75.39
Буинск,Региональный,2019,189,40,21.16,73.06
Казань,Школьный,2021,ошибка,0,,74.38
Елабуга,Школьный,2019,74,19,25.68,61.01
Заинск,Школьный,2015,166,71,ошибка,84.62
Балтаси,Заключительный,2024,,0,,44.56
Кукмор,Школьный,2021,191,92,48.17,ошибка
Зеленодольск,Региональный,2023,66,20,30.3,57.9
Балтаси,Региональный,2020,10,1,10.0,66.42
Тетюши,Заключительный,2016,160,30,18.75,45.59
Менделеевск,Заключительный,2020,100,34,34.0,78.09
Арск,Муниципальный,2023,,0,,70.91
Балтаси,Региональный,2023,56,,,47.77
Балтаси,Региональный,2021,78,20,25.64,87.13
Менделеевск,Заключительный,2016,85,37,43.53,92.29
Азнакаево,Муниципальный,2018.0,175,17,9.71,40.5
Арск,Заключительный,2015,112,6,ошибка,79.38
Арск,Региональный,2022,98,15,15.31,90.68
Елабуга,Региональный,2015,147,59,ошибка,79.63
Менделеевск,Региональный,2019,35,2,5.71,45.21
Заинск,Муниципальный,2024,,0,ошибка,59.11
Елабуга,Школьный,2023,79,30,ошибка,42.29
Бавлы,Заключительный,2022,96,38,39.58,63.55
Бавлы,Заключительный,2018,187,,,42.46
Бавлы,Региональный,2022,116,19,ошибка,ошибка
Бугульма,Заключительный,2019,187,4,ошибка,95.02
Тетюши,Муниципальный,2015,24,2,ошибка,53.18
Арск,Муниципальный,2017,91,ошибка,,53.31
Казань,Муниципальный,2023,106,7,6.6,91.08
Казань,Школьный,2024,31,14,ошибка,51.42
Зеленодольск,Региональный,2018,191,78,40.84,41.56
Бугульма,Муниципальный,2024,47,2,ошибка,
Арск,Муниципальный,2018,170,76,44.71,71.22
Мамадыш,Школьный,2020,67,8,11.94,93.43
Елабуга,Школьный,2018.0,114,,,68.7
Елабуга,Региональный,2019,62,30,48.39,98.29
Казань,Школьный,2017,19,1,5.26,95.62
Балтаси,Школьный,2021,82,9,10.98,47.54
Мамадыш,Заключительный,2020,22,8,36.36,79.22
Бавлы,Региональный,2016,ошибка,0,,42.57
Альметьевск,Муниципальный,2017,129,,,70.83
Азнакаево,Школьный,2020,54,11,20.37,61.28
Зеленодольск,Школьный,2022.0,99,29,29.29,41.73
Бавлы,Региональный,2023,175,6,3.43,-1
Альметьевск,Школьный,2024,43,1,2.33,-1
Зеленодольск,Региональный,2019,75,6,8.0,83.76
Агрыз,Заключительный,2020,171,12,7.02,84.72
Балтаси,Региональный,2017,ошибка,,,60.41
Бугульма,Заключительный,2019,ошибка,,,59.51
Елабуга,Региональный,2017.0,170,11,6.47,52.38
Заинск,Региональный,2017,30,9,ошибка,
Зеленодольск,Региональный,2017,32,15,46.88,49.88
Кукмор,Региональный,2021,,0,,85.82
Бавлы,Заключительный,2021,58,20,ошибка,52.95
Азнакаево,Заключительный,2018,ошибка,0,,96.65
Азнакаево,Заключительный,2024,117,52,ошибка,68.14
Бавлы,Муниципальный,2021,171,38,22.22,62.49
Альметьевск,Региональный,2021,10,1,10.0,
Менделеевск,Заключительный,2017,102,31,30.39,52.0
Бугульма,Заключительный,2022,139,57,41.01,99.56
Казань,Школьный,2015.0,68,12,17.65,97.62
Менделеевск,Школьный,2024,137,,,59.36
Альметьевск,Школьный,2022,24,4,16.67,89.9
Набережные Челны,Муниципальный,2024,12,,ошибка,84.15
Альметьевск,Заключительный,2019,,0,,94.11
Казань,Школьный,2015,195,25,12.82,75.5
Бугульма,Заключительный,2017,121,,,78.27
Набережные Челны,Школьный,2017,111,45,40.54,97.81
Кукмор,Школьный,2020,83,,ошибка,47.84
Бугульма,Муниципальный,2022,78,23,ошибка,95.64
Набережные Челны,Школьный,2021,55,6,10.91,99.71
Зеленодольск,Региональный,2019,186,31,16.67,94.19
Балтаси,Муниципальный,2020,165,75,ошибка,ошибка
Балтаси,Школьный,2015.0,103,17,ошибка,47.54
Азнакаево,Региональный,2017,112,,,97.79
Кукмор,Региональный,2020,,0,,54.23
Чистополь,Заключительный,2021,78,37,47.44,57.28
Кукмор,Муниципальный,2024,10,,,68.61
Буинск,Региональный,2015,174,85,48.85,94.54
Зеленодольск,Заключительный,2024,149,65,ошибка,91.2
Буинск,Муниципальный,2024,135,0,,77.28
Мамадыш,Муниципальный,2019,111,,,62.99
Казань,Школьный,2015,89,17,19.1,98.95
Азнакаево,Заключительный,2023,139,23,16.55,77.81
Набережные Челны,Школьный,2024,ошибка,0,,79.36
Арск,Школьный,2023.0,138,9,6.52,70.94
Азнакаево,Муниципальный,2018,11,,ошибка,89.62
Апастово,Муниципальный,2021,73,24,32.88,
Чистополь,Заключительный,2020,191,12,6.28,48.2
Буинск,Региональный,2024,92,20,ошибка,48.36
Агрыз,Заключительный,2015,70,34,48.57,44.61
Тетюши,Муниципальный,2020,87,ошибка,ошибка,75.95
Казань,Муниципальный,2019,60,4,6.67,43.35
Альметьевск,Школьный,2019,92,1,1.09,ошибка
Зеленодольск,Школьный,2023,197,66,33.5,54.9
Тетюши,Муниципальный,2018,137,19,13.87,88.33
Набережные Челны,Региональный,2023,186,,,40.06
Арск,Муниципальный,2020,ошибка,0,ошибка,90.78
Зеленодольск,Заключительный,2023,30,0,ошибка,99.8
Апастово,Муниципальный,2018,144,ошибка,,59.27
Зеленодольск,Региональный,2022,70,6,8.57,58.27
Чистополь,Школьный,2019.0,123,46,ошибка,71.88
Буинск,Заключительный,2016,151,52,34.44,88.82
